YEAR,CATAG7,Nervous_99,Nervous_1,Nervous_2,Nervous_3,Nervous_4,Nervous_5,Nervous_85,Nervous_94,Nervous_97,Nervous_98,Nervous_89,Nervous_skip,Nervous_any,Nervous_no,Nervous_others,num_people,Hopeless_99,Hopeless_1,Hopeless_2,Hopeless_3,Hopeless_4,Hopeless_5,Hopeless_85,Hopeless_94,Hopeless_97,Hopeless_98,Hopeless_89,Hopeless_skip,Hopeless_any,Hopeless_no,Hopeless_others,Restless_99,Restless_1,Restless_2,Restless_3,Restless_4,Restless_5,Restless_85,Restless_94,Restless_97,Restless_98,Restless_89,Restless_skip,Restless_any,Restless_no,Restless_others
2002,4,NA,164,662,1378,2674,1973,2,36,14,NA,NA,NA,4878,1973,52,6903,NA,294,566,918,1519,3557,2,28,19,NA,NA,NA,3297,3557,49,NA,202,543,1220,1971,2915,2,30,20,NA,NA,NA,3936,2915,52
2002,5,NA,333,1061,2060,3982,3317,4,52,16,NA,NA,NA,7436,3317,72,10825,NA,397,891,1412,2205,5854,4,48,14,NA,NA,NA,4905,5854,66,NA,331,856,1852,3018,4698,4,51,15,NA,NA,NA,6057,4698,70
2002,6,NA,128,479,1042,1956,1875,1,27,16,6,NA,NA,3605,1875,50,5530,NA,159,330,654,1041,3303,1,23,12,7,NA,NA,2184,3303,43,NA,126,344,923,1533,2554,1,27,15,7,NA,NA,2926,2554,50
2002,7,NA,279,918,2367,4794,4620,NA,78,42,15,NA,NA,8358,4620,135,13113,NA,239,549,1291,2196,8719,NA,57,47,15,NA,NA,4275,8719,119,NA,195,593,1838,3888,6478,NA,61,45,15,NA,NA,6514,6478,121
2003,4,NA,198,707,1559,2655,2004,NA,57,32,NA,NA,NA,5119,2004,89,7212,NA,273,644,1040,1475,3710,NA,45,25,NA,NA,NA,3432,3710,70,NA,239,605,1278,1972,3030,NA,57,31,NA,NA,NA,4094,3030,88
2003,5,NA,281,1045,2319,4210,3231,NA,55,25,5,NA,NA,7855,3231,85,11171,NA,403,908,1492,2188,6106,NA,45,24,5,NA,NA,4991,6106,74,NA,331,854,1958,3057,4885,NA,63,18,5,NA,NA,6200,4885,86
2003,6,NA,128,512,1091,2033,1736,1,44,14,3,NA,NA,3764,1736,62,5562,NA,165,322,656,1096,3278,1,29,12,3,NA,NA,2239,3278,45,NA,130,350,912,1558,2564,1,32,12,3,NA,NA,2950,2564,48
2003,7,NA,285,992,2502,4962,4231,1,74,27,7,NA,NA,8741,4231,109,13081,NA,265,571,1361,2219,8582,1,54,21,7,NA,NA,4416,8582,83,NA,247,634,1972,3904,6233,1,63,20,7,NA,NA,6757,6233,91
2004,4,NA,283,842,1749,2515,1843,NA,51,27,1,NA,NA,5389,1843,79,7311,NA,375,787,1168,1615,3313,NA,31,21,1,NA,NA,3945,3313,53,NA,349,800,1443,1988,2675,NA,32,23,1,NA,NA,4580,2675,56
2004,5,NA,436,1146,2665,4020,2810,NA,49,33,5,NA,NA,8267,2810,87,11164,NA,476,989,1772,2611,5237,NA,43,31,5,NA,NA,5848,5237,79,NA,479,1109,2225,3205,4065,NA,45,31,5,NA,NA,7018,4065,81
