YEAR,IRSEX,CATAG7,INCOME,EDUCCAT2,Nervous_99,Nervous_1,Nervous_2,Nervous_3,Nervous_4,Nervous_5,Nervous_94,Nervous_97,Nervous_85,Nervous_98,Nervous_89,Nervous_skip,Nervous_any,Nervous_no,Nervous_others,num_people,Hopeless_99,Hopeless_1,Hopeless_2,Hopeless_3,Hopeless_4,Hopeless_5,Hopeless_94,Hopeless_97,Hopeless_85,Hopeless_98,Hopeless_89,Hopeless_skip,Hopeless_any,Hopeless_no,Hopeless_others,Restless_99,Restless_1,Restless_2,Restless_3,Restless_4,Restless_5,Restless_94,Restless_97,Restless_85,Restless_98,Restless_89,Restless_skip,Restless_any,Restless_no,Restless_others
2002,1,1,1,5,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,NA,NA,NA,553,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,NA,NA,NA,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,NA,NA,NA
2002,1,1,2,5,1158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1158,NA,NA,NA,1158,1158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1158,NA,NA,NA,1158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1158,NA,NA,NA
2002,1,1,3,5,669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669,NA,NA,NA,669,669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669,NA,NA,NA,669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669,NA,NA,NA
2002,1,1,4,5,808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808,NA,NA,NA,808,808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808,NA,NA,NA,808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808,NA,NA,NA
2002,1,2,1,5,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,NA,NA,NA,508,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,NA,NA,NA,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,NA,NA,NA
2002,1,2,2,5,1137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137,NA,NA,NA,1137,1137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137,NA,NA,NA,1137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137,NA,NA,NA
2002,1,2,3,5,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,NA,NA,NA,625,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,NA,NA,NA,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,NA,NA,NA
2002,1,2,4,5,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740,NA,NA,NA,740,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740,NA,NA,NA,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740,NA,NA,NA
2002,1,3,1,5,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428,NA,NA,NA,428,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428,NA,NA,NA,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428,NA,NA,NA
2002,1,3,2,5,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1003,NA,NA,NA,1003,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1003,NA,NA,NA,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1003,NA,NA,NA
