YEAR,INCOME,Nervous_1,Nervous_2,Nervous_3,Nervous_4,Nervous_5,Nervous_85,Nervous_94,Nervous_97,Nervous_98,Nervous_99,Nervous_89,Nervous_any,Nervous_no,Nervous_others,Nervous_skip,num_people,Hopeless_1,Hopeless_2,Hopeless_3,Hopeless_4,Hopeless_5,Hopeless_85,Hopeless_94,Hopeless_97,Hopeless_98,Hopeless_99,Hopeless_89,Hopeless_any,Hopeless_no,Hopeless_others,Hopeless_skip,Restless_1,Restless_2,Restless_3,Restless_4,Restless_5,Restless_85,Restless_94,Restless_97,Restless_98,Restless_99,Restless_89,Restless_any,Restless_no,Restless_others,Restless_skip
2002,1,328,926,1764,3092,2884,1,60,28,5,3071,NA,6110,2884,94,3071,12159,383,778,1221,1833,4790,1,48,29,5,3071,NA,4215,4790,83,3071,317,771,1557,2462,3896,1,46,33,5,3071,NA,5107,3896,85,3071
2002,2,374,1166,2617,5191,4887,NA,84,34,12,6554,NA,9348,4887,130,6554,20919,440,911,1728,2681,8495,NA,62,36,12,6554,NA,5760,8495,110,6554,338,904,2265,3911,6828,NA,72,35,12,6554,NA,7418,6828,119,6554
2002,3,89,542,1132,2371,1923,5,19,17,3,3675,NA,4134,1923,44,3675,9776,128,334,655,1179,3761,5,19,17,3,3675,NA,2296,3761,44,3675,98,342,944,1862,2809,5,21,17,3,3675,NA,3246,2809,46,3675
2002,4,113,486,1334,2752,2091,1,30,9,1,4409,NA,4685,2091,41,4409,11226,138,313,671,1268,4387,1,27,10,2,4409,NA,2390,4387,40,4409,101,319,1067,2175,3112,1,30,10,2,4409,NA,3662,3112,43,4409
2003,1,348,1044,2081,3349,2842,1,93,31,4,3403,NA,6822,2842,129,3403,13196,441,823,1450,1917,5064,1,63,30,4,3403,NA,4631,5064,98,3403,361,781,1816,2644,4083,1,76,27,4,3403,NA,5602,4083,108,3403
2003,2,339,1246,2771,5328,4548,NA,78,44,6,6655,1,9684,4548,129,6655,21016,413,989,1755,2741,8365,NA,60,31,6,6655,1,5898,8365,98,6655,354,950,2299,3963,6683,NA,74,31,6,6655,1,7566,6683,112,6655
2003,3,117,461,1206,2404,1845,NA,29,8,2,3598,NA,4188,1845,39,3598,9670,148,326,653,1077,3833,NA,23,10,2,3598,NA,2204,3833,35,3598,131,355,960,1763,2814,NA,35,12,2,3598,NA,3209,2814,49,3598
2003,4,88,505,1413,2779,1967,1,30,15,3,4547,NA,4785,1967,49,4547,11348,104,307,691,1243,4414,1,27,11,3,4547,NA,2345,4414,42,4547,101,357,1045,2121,3132,1,30,11,3,4547,NA,3624,3132,45,4547
2004,1,501,1108,2392,3343,2775,1,76,50,1,3325,1,7344,2775,129,3325,13573,505,1011,1670,2326,4634,1,54,45,1,3325,1,5512,4634,102,3325,527,1070,2075,2714,3747,1,62,50,1,3325,1,6386,3747,115,3325
2004,2,439,1313,2988,5106,4048,NA,78,44,8,6284,NA,9846,4048,130,6284,20308,480,1085,2008,3014,7321,NA,66,42,8,6284,NA,6587,7321,116,6284,465,1156,2604,4018,5659,NA,73,41,8,6284,NA,8243,5659,122,6284
2004,3,174,523,1303,2239,1652,NA,20,11,NA,3748,NA,4239,1652,31,3748,9670,171,362,780,1259,3322,NA,18,10,NA,3748,NA,2572,3322,28,3748,152,480,1088,1838,2334,NA,18,12,NA,3748,NA,3558,2334,30,3748
