YEAR,IRSEX,Nervous_1,Nervous_2,Nervous_3,Nervous_4,Nervous_5,Nervous_85,Nervous_94,Nervous_97,Nervous_98,Nervous_99,Nervous_89,Nervous_any,Nervous_no,Nervous_others,Nervous_skip,num_people,Hopeless_1,Hopeless_2,Hopeless_3,Hopeless_4,Hopeless_5,Hopeless_85,Hopeless_94,Hopeless_97,Hopeless_98,Hopeless_99,Hopeless_89,Hopeless_any,Hopeless_no,Hopeless_others,Hopeless_skip,Restless_1,Restless_2,Restless_3,Restless_4,Restless_5,Restless_85,Restless_94,Restless_97,Restless_98,Restless_99,Restless_89,Restless_any,Restless_no,Restless_others,Restless_skip
2002,1,329,1170,2619,6271,6389,3,85,50,10,9031,NA,10389,6389,148,9031,25957,389,821,1624,2954,10997,3,73,55,10,9031,NA,5788,10997,141,9031,307,876,2416,4678,8508,3,72,56,10,9031,NA,8277,8508,141,9031
2002,2,575,1950,4228,7135,5396,4,108,38,11,8678,NA,13888,5396,161,8678,28123,700,1515,2651,4007,10436,4,83,37,12,8678,NA,8873,10436,136,8678,547,1460,3417,5732,8137,4,97,39,12,8678,NA,11156,8137,152,8678
2003,1,283,1207,2937,6520,6242,1,120,44,12,9399,1,10947,6242,178,9399,26766,368,864,1810,2911,11272,1,90,38,12,9399,1,5953,11272,142,9399,341,938,2535,4653,8741,1,112,33,12,9399,1,8467,8741,159,9399
2003,2,609,2049,4534,7340,4960,1,110,54,3,8804,NA,14532,4960,168,8804,28464,738,1581,2739,4067,10404,1,83,44,3,8804,NA,9125,10404,131,8804,606,1505,3585,5838,7971,1,103,48,3,8804,NA,11534,7971,155,8804
2004,1,468,1252,3342,6389,5753,NA,101,68,10,9329,1,11451,5753,180,9329,26713,454,1021,2067,3464,10228,NA,83,56,10,9329,1,7006,10228,150,9329,499,1148,3011,4903,7670,NA,82,60,10,9329,1,9561,7670,153,9329
2004,2,791,2270,5000,7091,4603,1,108,60,1,8964,NA,15152,4603,170,8964,28889,848,1824,3233,4581,9301,1,81,55,1,8964,NA,10486,9301,138,8964,807,2032,4085,5922,6922,1,96,59,1,8964,NA,12846,6922,157,8964
2005,1,506,1169,3499,5942,5826,NA,95,70,7,9423,2,11116,5826,174,9423,26539,499,928,2155,3519,9864,NA,70,72,7,9423,2,7101,9864,151,9423,586,1260,3132,4717,7263,NA,78,71,7,9423,2,9695,7263,158,9423
2005,2,878,2427,5185,6725,4777,2,68,46,5,9253,NA,15215,4777,121,9253,29366,881,1834,3449,4631,9208,2,56,47,5,9253,NA,10795,9208,110,9253,986,2241,4485,5810,6463,2,71,50,5,9253,NA,13522,6463,128,9253
2006,1,498,1214,3446,5788,6182,NA,92,80,4,9319,1,10946,6182,177,9319,26624,530,944,2090,3404,10188,NA,78,66,4,9319,1,6968,10188,149,9319,569,1244,3041,4690,7596,NA,93,67,4,9319,1,9544,7596,165,9319
2006,2,856,2261,4857,6580,4799,NA,89,49,6,8914,NA,14554,4799,144,8914,28411,865,1687,3185,4503,9128,NA,68,55,6,8914,NA,10240,9128,129,8914,947,2047,4188,5638,6534,NA,80,57,6,8914,NA,12820,6534,143,8914
2007,1,541,1196,3413,5964,6121,3,105,63,7,9106,NA,11114,6121,178,9106,26519,532,921,2078,3488,10232,3,80,72,7,9106,NA,7019,10232,162,9106,586,1231,3118,4754,7549,3,95,70,7,9106,NA,9689,7549,175,9106
2007,2,853,2340,5046,6576,5059,NA,85,49,6,8516,NA,14815,5059,140,8516,28530,920,1750,3253,4575,9391,NA,67,52,6,8516,NA,10498,9391,125,8516,953,2136,4258,5717,6801,NA,85,58,6,8516,NA,13064,6801,149,8516
