Year,Column,Num_NA,Count_1,Unique_Values
2002,YEAR,0,0,2002
2002,IRSEX,0,25957,"1, 2"
2002,EDUCCAT2,0,6364,"1, 2, 3, 4, 5"
2002,IREDUC2,0,1533,"1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
2002,IIEDUC2,0,54071,"1, 3"
2002,CATAGE,0,17709,"1, 2, 3, 4"
2002,CATAG2,0,17709,"1, 2, 3"
2002,CATAG3,0,17709,"1, 2, 3, 4, 5"
2002,CATAG7,0,6196,"1, 2, 3, 4, 5, 6, 7"
2003,YEAR,0,0,2003
2003,IRSEX,0,26766,"1, 2"
2003,EDUCCAT2,0,7070,"1, 2, 3, 4, 5"
2003,IREDUC2,0,1614,"1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
2003,IIEDUC2,0,55216,"1, 3"
2003,CATAGE,0,18204,"1, 2, 3, 4"
2003,CATAG2,0,18204,"1, 2, 3"
2003,CATAG3,0,18204,"1, 2, 3, 4, 5"
2003,CATAG7,0,6095,"1, 2, 3, 4, 5, 6, 7"
2004,YEAR,0,0,2004
2004,IRSEX,0,26713,"1, 2"
2004,EDUCCAT2,0,6740,"1, 2, 3, 4, 5"
2004,IREDUC2,0,1553,"1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
2004,IIEDUC2,0,55592,"1, 3"
2004,CATAGE,0,18294,"1, 2, 3, 4"
2004,CATAG2,0,18294,"1, 2, 3"
2004,CATAG3,0,18294,"1, 2, 3, 4, 5"
2004,CATAG7,0,6060,"1, 2, 3, 4, 5, 6, 7"
2005,YEAR,0,0,2005
2005,IRSEX,0,26539,"1, 2"
2005,EDUCCAT2,0,6690,"1, 2, 3, 4, 5"
2005,IREDUC2,0,1555,"1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9"
2005,IIEDUC2,0,55895,"1, 3"
2005,CATAGE,0,18678,"1, 2, 3, 4"
2005,CATAG2,0,18678,"1, 2, 3"
2005,CATAG3,0,18678,"1, 2, 3, 4, 5"
2005,CATAG7,0,6022,"1, 2, 3, 4, 5, 6, 7"
2006,YEAR,0,0,2006
2006,IRSEX,0,26624,"1, 2"
