Year,Column,Num_NA,Count_1,Unique_Values
2002,LFTSCHA2,0,0,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 985, 989, 994, 997, 998, 999"
2002,LFSCHWH2,0,499,"1, 10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 41, 43, 44, 5, 50, 51, 52, 54, 56, 57, 58, 59, 6, 60, 601, 605, 63, 67, 7, 71, 8, 9, 985, 994, 997, 998, 999"
2003,LFTSCHA2,0,0,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 985, 989, 994, 997, 998, 999"
2003,LFSCHWH2,0,602,"1, 10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 41, 42, 43, 44, 48, 49, 5, 50, 51, 52, 54, 56, 58, 59, 6, 60, 601, 603, 605, 607, 63, 66, 67, 69, 7, 71, 72, 8, 9, 994, 997, 998, 999"
2004,LFTSCHA2,0,0,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 985, 989, 994, 997, 998, 999"
2004,LFSCHWH2,0,567,"1, 10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 43, 45, 46, 49, 5, 50, 51, 52, 54, 56, 57, 58, 59, 6, 60, 601, 606, 607, 63, 65, 650, 66, 67, 69, 7, 71, 778, 8, 9, 994, 997, 998, 999"
2005,LFTSCHA2,0,0,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 985, 989, 994, 997, 998, 999"
2005,LFSCHWH2,0,546,"1, 10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 41, 44, 49, 5, 50, 51, 52, 53, 54, 56, 57, 58, 59, 6, 60, 601, 605, 606, 63, 66, 67, 69, 7, 71, 75, 778, 8, 9, 994, 997, 998, 999"
2006,LFTSCHA2,0,0,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 985, 989, 994, 998, 999"
2006,LFSCHWH2,0,522,"1, 10, 11, 12, 13, 14, 15, 16, 2, 3, 4, 42, 43, 46, 5, 50, 51, 52, 54, 56, 58, 59, 6, 60, 601, 603, 605, 606, 62, 67, 69, 7, 71, 75, 778, 8, 9, 994, 997, 998, 999"
