Year,Column,Num_NA,Count_1,Unique_Values
2002,IRPINC3,0,29927,"1, 2, 3, 4, 5, 6, 7"
2002,IRFAMIN3,0,5070,"1, 2, 3, 4, 5, 6, 7"
2002,IIPINC3,0,52290,"1, 3"
2002,IIFAMIN3,0,48258,"1, 3"
2002,GOVTPROG,0,7711,"1, 2"
2002,INCOME,0,12159,"1, 2, 3, 4"
2003,IRPINC3,0,31545,"1, 2, 3, 4, 5, 6, 7"
2003,IRFAMIN3,0,5672,"1, 2, 3, 4, 5, 6, 7"
2003,IIPINC3,0,53472,"1, 3"
2003,IIFAMIN3,0,49303,"1, 3"
2003,GOVTPROG,0,9099,"1, 2"
2003,INCOME,0,13196,"1, 2, 3, 4"
2004,IRPINC3,0,32131,"1, 2, 3, 4, 5, 6, 7"
2004,IRFAMIN3,0,6042,"1, 2, 3, 4, 5, 6, 7"
2004,IIPINC3,0,53711,"1, 3"
2004,IIFAMIN3,0,49421,"1, 3"
2004,GOVTPROG,0,9835,"1, 2"
2004,INCOME,0,13573,"1, 2, 3, 4"
2005,IRPINC3,0,32481,"1, 2, 3, 4, 5, 6, 7"
2005,IRFAMIN3,0,5761,"1, 2, 3, 4, 5, 6, 7"
2005,IIPINC3,0,53933,"1, 3"
2005,IIFAMIN3,0,49470,"1, 3"
2005,GOVTPROG,0,10388,"1, 2"
2005,INCOME,0,13128,"1, 2, 3, 4"
2006,IRPINC3,0,31437,"1, 2, 3, 4, 5, 6, 7"
2006,IRFAMIN3,0,5506,"1, 2, 3, 4, 5, 6, 7"
2006,IIPINC3,0,53340,"1, 3"
2006,IIFAMIN3,0,49205,"1, 2, 3"
2006,GOVTPROG,0,10115,"1, 2"
2006,INCOME,0,12602,"1, 2, 3, 4"
2007,IRPINC3,0,30709,"1, 2, 3, 4, 5, 6, 7"
2007,IRFAMIN3,0,5479,"1, 2, 3, 4, 5, 6, 7"
2007,IIPINC3,0,53339,"1, 3"
2007,IIFAMIN3,0,49105,"1, 2, 3"
2007,GOVTPROG,0,10298,"1, 2"
2007,INCOME,0,12439,"1, 2, 3, 4"
2008,IRPINC3,0,31339,"1, 2, 3, 4, 5, 6, 7"
2008,IRFAMIN3,0,5270,"1, 2, 3, 4, 5, 6, 7"
2008,IIPINC3,0,53786,"1, 3"
2008,IIFAMIN3,0,50097,"1, 2, 3"
2008,GOVTPROG,0,10367,"1, 2"
2008,INCOME,0,11964,"1, 2, 3, 4"
2009,IRPINC3,0,31657,"1, 2, 3, 4, 5, 6, 7"
2009,IRFAMIN3,0,5506,"1, 2, 3, 4, 5, 6, 7"
2009,IIPINC3,0,53739,"1, 3"
