Year,Column,Num_NA,Count_1,Unique_Values
2002,PANATAK,0,5948,"1, 2, 85, 94, 97, 98, 99"
2002,MDEDP2WK,0,8675,"1, 2, 85, 94, 97, 98, 99"
2002,MDELOSIN,0,4314,"1, 2, 85, 94, 97, 98, 99"
2002,MNCHYPER,0,969,"1, 2, 4, 85, 94, 97, 98, 99"
2002,PHBCRWDS,0,4235,"1, 2, 94, 97, 98, 99"
2002,PHBPUBPL,0,2301,"1, 2, 94, 97, 98, 99"
2002,PHBTRAVL,0,1798,"1, 2, 94, 97, 98, 99"
2002,PHBAWYHM,0,3074,"1, 2, 94, 97, 98, 99"
2002,PTSEVER,0,13775,"1, 2, 94, 97, 98, 99"
2002,MHHOSPOV,0,202,"1, 12, 2, 85, 94, 97, 98, 99"
2002,MHMEDS,0,2530,"1, 2, 85, 94, 97, 98, 99"
2002,MHOPNUM2,0,621,"0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 28, 29, 3, 30, 31, 4, 5, 6, 7, 8, 9, 985, 994, 997, 998, 999"
2002,PANATKN2,0,3680,"1, 10, 11, 12, 2, 3, 4, 5, 6, 7, 8, 9, 985, 994, 997, 998, 999"
2002,MDEDPWKR,0,4090,"1, 10, 11, 12, 13, 2, 3, 4, 5, 6, 7, 8, 85, 9, 94, 97, 98, 99"
2002,MDELIWK2,0,2800,"1, 10, 11, 12, 13, 2, 3, 4, 5, 6, 7, 8, 85, 9, 94, 97, 98, 99"
2002,GADWKS2,0,574,"1, 10, 11, 12, 13, 2, 3, 4, 5, 6, 7, 8, 9, 94, 97, 98, 99"
2002,PTSWKS2,0,1195,"1, 10, 11, 12, 13, 2, 3, 4, 5, 6, 7, 8, 9, 94, 97, 98, 99"
2002,MHMEDWK2,0,446,"0, 1, 10, 11, 12, 13, 2, 3, 4, 5, 6, 7, 8, 85, 9, 94, 97, 98, 99"
2002,IMPWKS2,0,5606,"1, 10, 11, 12, 13, 2, 3, 4, 5, 6, 7, 8, 85, 9, 94, 97, 98, 99"
2003,PANATAK,0,5734,"1, 2, 85, 89, 94, 97, 98, 99"
2003,MDEDP2WK,0,8909,"1, 2, 85, 89, 94, 97, 98, 99"
2003,MDELOSIN,0,4433,"1, 2, 85, 94, 97, 98, 99"
2003,MNCHYPER,0,974,"1, 2, 4, 89, 94, 97, 98, 99"
2003,PHBCRWDS,0,4339,"1, 2, 89, 94, 97, 98, 99"
2003,PHBPUBPL,0,2474,"1, 2, 89, 94, 97, 98, 99"
2003,PHBTRAVL,0,1844,"1, 2, 89, 94, 97, 98, 99"
2003,PHBAWYHM,0,3174,"1, 2, 89, 94, 97, 98, 99"
2003,PTSEVER,0,13755,"1, 2, 89, 94, 97, 98, 99"
2003,MHHOSPOV,0,280,"1, 12, 2, 94, 97, 98, 99"
2003,MHMEDS,0,2756,"1, 2, 94, 97, 98, 99"
