Year,Column,Num_NA,Count_1,Unique_Values
2002,DSTNRVOS,0,904,"1, 2, 3, 4, 5, 85, 94, 97, 98, 99"
2002,DSTHOPLS,0,1089,"1, 2, 3, 4, 5, 85, 94, 97, 98, 99"
2002,DSTRSTLS,0,854,"1, 2, 3, 4, 5, 85, 94, 97, 98, 99"
2003,DSTNRVOS,0,892,"1, 2, 3, 4, 5, 85, 89, 94, 97, 98, 99"
2003,DSTHOPLS,0,1106,"1, 2, 3, 4, 5, 85, 89, 94, 97, 98, 99"
2003,DSTRSTLS,0,947,"1, 2, 3, 4, 5, 85, 89, 94, 97, 98, 99"
2004,DSTNRVOS,0,1259,"1, 2, 3, 4, 5, 85, 89, 94, 97, 98, 99"
2004,DSTHOPLS,0,1302,"1, 2, 3, 4, 5, 85, 89, 94, 97, 98, 99"
2004,DSTRSTLS,0,1306,"1, 2, 3, 4, 5, 85, 89, 94, 97, 98, 99"
2005,DSTNRVOS,0,1384,"1, 2, 3, 4, 5, 85, 89, 94, 97, 98, 99"
2005,DSTHOPLS,0,1380,"1, 2, 3, 4, 5, 85, 89, 94, 97, 98, 99"
2005,DSTRSTLS,0,1572,"1, 2, 3, 4, 5, 85, 89, 94, 97, 98, 99"
2006,DSTNRVOS,0,1354,"1, 2, 3, 4, 5, 89, 94, 97, 98, 99"
2006,DSTHOPLS,0,1395,"1, 2, 3, 4, 5, 89, 94, 97, 98, 99"
2006,DSTRSTLS,0,1516,"1, 2, 3, 4, 5, 89, 94, 97, 98, 99"
2007,DSTNRVOS,0,1394,"1, 2, 3, 4, 5, 85, 94, 97, 98, 99"
2007,DSTHOPLS,0,1452,"1, 2, 3, 4, 5, 85, 94, 97, 98, 99"
2007,DSTRSTLS,0,1539,"1, 2, 3, 4, 5, 85, 94, 97, 98, 99"
2008,DSTNRVOS,0,0,-9
2008,DSTHOPLS,0,0,-9
2008,DSTRSTLS,0,0,-9
2009,DSTNRVOS,0,0,-9
2009,DSTHOPLS,0,0,-9
2009,DSTRSTLS,0,0,-9
2010,DSTNRVOS,0,0,-9
2010,DSTHOPLS,0,0,-9
2010,DSTRSTLS,0,0,-9
2011,DSTNRVOS,0,0,-9
2011,DSTHOPLS,0,0,-9
2011,DSTRSTLS,0,0,-9
2012,DSTNRVOS,0,0,-9
2012,DSTHOPLS,0,0,-9
2012,DSTRSTLS,0,0,-9
2013,DSTNRVOS,0,0,-9
2013,DSTHOPLS,0,0,-9
2013,DSTRSTLS,0,0,-9
2014,DSTNRVOS,0,0,-9
2014,DSTHOPLS,0,0,-9
2014,DSTRSTLS,0,0,-9
2015,DSTNRVOS,0,0,-9
2015,DSTHOPLS,0,0,-9
2015,DSTRSTLS,0,0,-9
2016,DSTNRVOS,0,0,-9
2016,DSTHOPLS,0,0,-9
2016,DSTRSTLS,0,0,-9
2017,DSTNRVOS,0,0,-9
2017,DSTHOPLS,0,0,-9
2017,DSTRSTLS,0,0,-9
2018,DSTNRVOS,0,0,-9
2018,DSTHOPLS,0,0,-9
2018,DSTRSTLS,0,0,-9
2019,DSTNRVOS,0,0,-9
2019,DSTHOPLS,0,0,-9
2019,DSTRSTLS,0,0,-9
