"hryear4","prtage","hufaminc","pesex","avg_net_use","n"
2001,4,-3,1,59.1439688715953,257
2001,4,-3,2,61.0687022900763,262
2001,4,-2,1,48.4126984126984,126
2001,4,-2,2,51.2820512820513,156
2001,4,1,1,42.7083333333333,96
2001,4,1,2,36.1111111111111,144
2001,4,2,1,37.8378378378378,74
2001,4,2,2,31.8181818181818,88
2001,4,3,1,41.2698412698413,63
2001,4,3,2,33.8028169014084,71
2001,4,4,1,30.8641975308642,81
2001,4,4,2,40,90
2001,4,5,1,36.986301369863,73
2001,4,5,2,30.6930693069307,101
2001,4,6,1,35.6435643564356,101
2001,4,6,2,36.4341085271318,129
2001,4,7,1,37.6712328767123,146
2001,4,7,2,33.1360946745562,169
2001,4,8,1,42.3076923076923,130
2001,4,8,2,41.1764705882353,136
2001,4,9,1,55.8139534883721,129
2001,4,9,2,48.9655172413793,145
2001,4,10,1,60.6060606060606,132
2001,4,10,2,55.2631578947368,114
2001,4,11,1,70.3125,192
2001,4,11,2,67.4757281553398,206
2001,4,12,1,72.2488038277512,209
2001,4,12,2,74.468085106383,188
2001,4,13,1,79.2307692307692,260
2001,4,13,2,79.8076923076923,208
2001,4,14,1,89.1849529780564,638
2001,4,14,2,91.0344827586207,580
2001,4,NA,1,40,5
2001,4,NA,2,40,5
2001,5,-3,1,53.2307692307692,325
2001,5,-3,2,52,400
2001,5,-2,1,39.1061452513966,179
2001,5,-2,2,43.9024390243902,164
2001,5,1,1,40.9395973154362,149
2001,5,1,2,37.7880184331797,217
2001,5,2,1,38.6792452830189,106
2001,5,2,2,29.4964028776978,139
2001,5,3,1,36.5853658536585,82
2001,5,3,2,26.4,125
2001,5,4,1,38.2165605095541,157
2001,5,4,2,35.9281437125749,167
2001,5,5,1,34.8993288590604,149
2001,5,5,2,28.7671232876712,146
2001,5,6,1,36.5019011406844,263
2001,5,6,2,35.8267716535433,254
2001,5,7,1,38.125,320
2001,5,7,2,44.2528735632184,348
2001,5,8,1,53.0821917808219,292
2001,5,8,2,43.3544303797468,316
2001,5,9,1,41.5322580645161,248
2001,5,9,2,44.9612403100775,258
2001,5,10,1,54.0178571428571,224
2001,5,10,2,57.7235772357724,246
