"hryear4","prtage","tech_users","total_people"
2001,4,3400,5504
2001,5,4692,8648
2001,6,10212,16892
2001,7,40254,74767
2003,4,3447,5253
2003,5,4844,8424
2003,6,10247,16139
2003,7,43488,74076
2007,4,4230,4967
2007,5,6680,8464
2007,6,11998,14921
2007,7,52826,72361
2009,4,4526,5129
2009,5,7207,8330
2009,6,13393,15433
2009,7,57033,73076
2011,4,4622,5407
2011,5,6779,8211
2011,6,12986,15472
2011,7,56394,72624
2015,4,4248,4578
2015,5,7504,8050
2015,6,13848,15040
2015,7,62977,71565
2017,4,3907,4240
2017,5,6973,7612
2017,6,13544,14723
2017,7,62716,72597
2019,4,3684,4006
2019,5,5835,6372
2019,6,12439,13513
2019,7,60518,68788
2021,4,2974,3228
2021,5,5242,5703
2021,6,10576,11459
2021,7,53630,60211
2023,4,3066,3281
2023,5,5179,5515
2023,6,10364,11210
2023,7,53805,59184
