"hryear4","hefaminc","tech_users","total_people"
2001,1,5185,23466
2001,2,22238,44947
2001,3,18594,25404
2001,4,25999,30132
2003,1,5945,21768
2003,2,22826,42291
2003,3,18510,23888
2003,4,26616,30010
2007,1,8026,17202
2007,2,24618,35065
2007,3,19634,22265
2007,4,32480,34258
2009,1,10552,18853
2009,2,27140,35562
2009,3,20431,22200
2009,4,33780,35014
2015,1,15302,19655
2015,2,32634,38443
2015,3,21961,24502
2015,4,41868,46111
2017,1,12915,17497
2017,2,30222,36271
2017,3,21317,23810
2017,4,45668,50329
2019,1,10354,13631
2019,2,26234,31198
2019,3,19338,21617
2019,4,47022,51651
2021,1,8596,10982
2021,2,22172,25782
2021,3,16765,18706
2021,4,42351,46943
2023,1,7021,8506
2023,2,19376,22226
2023,3,15563,17170
2023,4,46991,51732
